TipoDePublicacao,NumeroDaPublicacao,Revisao,DataEfetividade,DocAssociado,Emissor,ATA,Assunto,Categoria,Tipo,Aplicabilidade,DescAplicabilidade,Acao,Analista,TSN,DataAnalise,TipoDeControle,CSN,DataLimite,Justificativa
AD/CF/DA/CN,88-05-08,00,24/05/1988,SIL PW-031 R2,ANAC (Brasil),72 - Engine,TAMPA DA BOMBA COMBUSTÍVEL ALTA PRESSÃO,Mandatório,Inspeção única,Motor,PW124B - PCE-AH0014,ALREADY EMBODIED,Alexandre Edson,,,,,,TORQUE REQUERIDO PELA D.A. PARA INSTALAÇÃO DO FILTRO FOI INCORPORADO NO MANUAL DE MANUTENÇÃO DO MOTOR PW124B P/N 3037332 R49.1 .; SEÇÃO 72.01.40; FUEL SYSTEM - SERVICING; 6. FUEL PUMP OUTLET FILTER.
AD/CF/DA/CN,88-26R1,01,09/12/1988,PWC SB 20133,DT (Canada),72-ENGINE ,HIGH PRESSURE TURBINE COMPONENTS,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL DEVIDO A AD NÃO AFETAR O PART NUMBER DO HPT FRONT COVER- HPT REAR COVER E HPT DISK INSTALADOS NO MOTOR.
AD/CF/DA/CN,88-11R1,01,15/05/1989,,DT (Canada),72-ENGINE ,CANCELLATION NOTICE - ALL ENG`S/SPARES ARE COMPLIANT,Mandatório,Informativa,Motor,PW120 - PCE-121169,CANCELLED/SUPERSEDED,Messias Neves,,,,,,CANCELADA AD CF-88-11
AD/CF/DA/CN,90-21,00,01/10/1990,PWC SB 20907,DT (Canada),72-ENGINE ,FUEL PUMP FILTER COVER "O" RING,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL DEVIDO AO MOTOR JÁ INCORPORAR O SB 20897 DE ACORDO "ENGINE BUILD RECORDE STATUS REPORT" DA PWC EM 24/01/1992 COMO CÓPIA EM ANEXO.
AD/CF/DA/CN,89-14R1,01,05/11/1990,PWC SB's 20341/ 20417/ 20419 & 20456,DT (Canada),72-ENGINE ,TEMPORARY HIGH PRESSURE ROTOR SEIZURE,Mandatório,Modificação,Motor,PW120 - PCE-121169,ALREADY EMBODIED,Messias Neves,,,,,,JÁ REALIZADA DEVIDO O MOTOR INCORPORAR OS SB's 20341- 20417- 20419 & 20456 DE ACORDO COM "ENGINE BUILD RECORD STATUS" DA PWC EM 24/01/1992 COMO CÓPIA EM ANEXO. 
AD/CF/DA/CN,90-24R2,02,10/12/1990,HAMILTON STANDARD  SB JFC118-10-73-16R1,,73-ENGINE - FUEL AND CONTROL,HAMILTON STANDARD HYDRO-MECHANICAL UNITS (HMU),Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICAVEL POIS SB HAMILTON STANDARD Nº JFC118-12-73-16R1 NÃO CONTEMPLA O PART NUMBER INSTALADO.
AD/CF/DA/CN,94-01,00,10/01/1994,,DT (Canada),72-ENGINE ,HIGH PRESSURE TURBINE (HPT) DISK,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL AO PART NUMBER DA HTP DISK INSTALADO.
AD/CF/DA/CN,96-22,00,31/12/1996,P&WC SB 21077 & 21137,DT (Canada),72-ENGINE ,FUEL NOZZLE - LOCKING PLATES + "O" RINGS,Mandatório,Modificação,Motor,PW120 - PCE-121169,ALREADY EMBODIED,Messias Neves,,,,,,JÁ INCORPORADO COM OS CUMPRIMENTOS DOS SB's P&WC Nº 21077R7 E 21373- REALIZADOS PELA P&WC EM 07/06/2000- CONFORME DOCUMENTOS EM ANEXO.
AD/CF/DA/CN,2000-34,00,29/12/2000,P&WC 21100,DT (Canada),72-ENGINE ,Remove Pre-PW&C SB21100 Stewart Warner Fuel Heaters,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL POIS O FUEL HEATER INSTALADO É POS SB 21100.
AD/CF/DA/CN,2002-10,00,01/03/2002,P&WC SB 20914,DT (Canada),72-ENGINE ,P&WC PW100 Intercompressor Case Fire,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL POIS O MOTOR JÁ INCORPORA O SB P&WC 20914
AD/CF/DA/CN,2005-29,00,12/09/2005,P&WC SB 217114R2,DT (Canada),72-ENGINE ,Field Inspection and Replacement of Propeller Shaft,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL POIS O NÚMERO DE SÉRIE DA RGB NÃO CONSTA NAS TABELAS DE 1 A 4 DA REFERIA A.D.
AD/CF/DA/CN,2012-12,00,02/04/2012,P&WC SB's: A21813 REV.3/ A21802 REV.4 AND A21798 REV.5.,DT (Canada),72-ENGINE ,Propeller Shaft Crack,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,CUMPRIDO A PARTE I DA A.D. E VERIFICADO QUE O NÚMERO DE SÉRIE DO PROPELLER SHAFT NÃO CONSTA NO SB P&WC A21813 DE ACORDO COM A O.S. TRIP Nº 103400 DE 18/01/2013 COMO CÓPIA EM ANEXO. NÃO SENDO NECESSÁRIA MAIS NENHUMA AÇÃO.
AD/CF/DA/CN,2013-29,00,18/10/2013,P&WC SB 21803,,73-ENGINE - FUEL AND CONTROL,Superseded by CF-2014-41 December 9- 2014,Mandatório,Informativa,Motor,PW120 - PCE-121169,DOES NOT REQUIRE ACTION,Messias Neves,,,,,,SUPRECEDIDA PELA CF-2014-41.
AD/CF/DA/CN,2014-41,00,,P&WC SB 21861,DT (Canada),73-ENGINE - FUEL AND CONTROL,Engine Fuel and Control - Fuel Spray Nozzle – Fuel Leaks Resulting In Engine Fire,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL POIS O MOTOR É PRE SB 21610 E SUA TUBULAÇÃO É RIGIDA.
AD/CF/DA/CN,97-10-06,00,03/11/1997,P&WC SB 21077 E 21373,,72-ENGINE ,PRESILHAS FIXAÇÃO E LINHAS COMBUST MOTOR,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL POIS O MOTOR JÁ INCORPORO OS SB's 21077 E 21373 DE ACORDO COM A P&WC EM 07/06/2000.
AD/CF/DA/CN,88-11-03,00,04/11/1988,P&WC SB 20347,ANAC (Brasil),72-ENGINE ,LINHA DE P3,Mandatório,Modificação,Motor,PW120 - PCE-121169,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL AO NUMERO DE SERIE DO MOTOR E JÁ INCORPORA O SB 20347
AD/CF/DA/CN,88-05-08,00,28/05/1988,,ANAC (Brasil),72-ENGINE ,TAMPA DA BOMBA COMBUSTÍVEL ALTA PRESSÃO,Mandatório,Inspeção única,Motor,PW120 - PCE-121169,DOES NOT REQUIRE ACTION,Messias Neves,,,,,,AS INSTRUÇÕES DESTA D.A. JÁ SÃO PREVISTAS PELO MM SEÇÃO 72-01-40.
AD/CF/DA/CN,88-26,01,09/12/1988,P&WC SB 20133/ 20002,DT (Canada),72-ENGINE ,HIGH PRESSURE TURBINE COMPONENTS,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL AO NÚMERO DE SÉRIE DO MOTOR.
AD/CF/DA/CN,88-11R1,01,15/05/1989,,DT (Canada),72-ENGINE ,CANCELLATION NOTICE - ALL ENG`S/SPARES ARE COMPLIANT,Mandatório,Informativa,Motor,PW120 - PCE-121166,DOES NOT REQUIRE ACTION,Messias Neves,,,,,,CANCELADA A.D. CF-88-11
AD/CF/DA/CN,90-21,00,01/10/1990,P&WC SB 20897 E 20907,DT (Canada),72-ENGINE ,FUEL PUMP FILTER COVER "O" RING,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL PELO FATO DE O MOTOR SER POS SB 20897.
AD/CF/DA/CN,89-14R1,01,05/11/1989,P&WC SB 20417/ 20456,DT (Canada),72-ENGINE ,TEMPORARY HIGH PRESSURE ROTOR SEIZURE,Mandatório,Modificação,Motor,PW120 - PCE-121166,ALREADY EMBODIED,Messias Neves,,,,,,JÁ INCORPORADA PELA P&WC CONFORME DOCUMENTOS EM ANEXO EM 10/29/1997.
AD/CF/DA/CN,90-24R2,02,10/12/1990,HAMILTON STANDARD JFC118-12-73-16,DT (Canada),73-ENGINE - FUEL AND CONTROL,HAMILTON STANDARD HYDRO-MECHANICAL UNITS (HMU),Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,Não aplicável ao PN do HMU instado conforme SB N° JFC118-12-73-16R1 de acordo com documentos em anexo (PN aplicaveis 786392-4/6 S/N A3423 até F17216).
AD/CF/DA/CN,94-01,00,10/01/1994,,DT (Canada),72-ENGINE ,HIGH PRESSURE TURBINE (HPT) DISK,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL AO PN SO HPT TURBINE DISK INSTALADO.
AD/CF/DA/CN,96-22,00,31/12/1996,P&WC SB 21077/ 21373,DT (Canada),72-ENGINE ,FUEL NOZZLE - LOCKING PLATES + "O" RINGS,Mandatório,Modificação,Motor,PW120 - PCE-121166,ALREADY EMBODIED,Messias Neves,,,,,,JÁ INCORPORADO- CUMPRIDA PELA P&WC CONFORME DOCUMENTOS EM ANEXOS DATADOS DE 10/29/1997.
AD/CF/DA/CN,2000-34,00,29/31/2000,P&WC 21100,DT (Canada),73-ENGINE - FUEL AND CONTROL,Remove Pre-PW&C SB21100 Stewart Warner Fuel Heaters ,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL PELO FATO PN DO FUEL HEATERS S.W. INSTALADO NÃO SE ENCONTRA NA TABELA 1 E 2 DA REFERIDA A.D- O COMPONENTE É POS SB 21100.
AD/CF/DA/CN,2002-10,00,01/03/2002,P&WC SB 20914,DT (Canada),72-ENGINE ,P&WC PW100 Intercompressor Case Fire,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL POIS O MOTOR JÁ INCORPORA O SB 20914 DE ACORDO COM A P&WC CONFORME DOCUMENTO EM ANEXO.
AD/CF/DA/CN,2005-29,00,12/09/2005,P&WC SB 21714R2,DT (Canada),72-ENGINE ,Field Inspection and Replacement of Propeller Shaft,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL DEVIDO AO P/N E NÚMERO DE SÉRIE DO RGB INSTALADO NÃO CONSTAR NA TABELA 1-2-3 E 4 DA REFERIDA A.D.
AD/CF/DA/CN,2012-12,00,02/04/2012,P&WC SB A21813 REV.3/ A21802 REV.4 AND A21798 REV.5.,DT (Canada),72-ENGINE ,Propeller Shaft Crack,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,FEITA A PARTE I DA A.D. E CONSTATOU-SE QUE OS SB's A21802- A21802 E 21798 NÃO SÃO APLICÁDOS AO NÚMERO DE SÉRIE DO PROPELLER SHAFTS INSTALOS NO MOTOR- NÃO REQUERENDO MAIS NENHUMA AÇÃO ADICIONAL.
AD/CF/DA/CN,2013-29,00,18/10/2013,P&WC SB 21803,DT (Canada),72-ENGINE ,Superseded by CF-2014-41 December 9- 2014,Mandatório,Informativa,Motor,PW120 - PCE-121166,CANCELLED/SUPERSEDED,Messias Neves,,,,,,SUPRECEDIDA PELA AD CF-2014-41 .
AD/CF/DA/CN,2014-41,00,09/12/2014,SB 21861,DT (Canada),73-ENGINE - FUEL AND CONTROL,Engine Fuel and Control - Fuel Spray Nozzle – Fuel Leaks Resulting In Engine Fire,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL POIS O MOTOR NÃO INCORPORA O SB 21610 E OS FUEL NOZZLES SÃO RIGIDOS.
AD/CF/DA/CN,97-10-06,00,03/11/1997,P&WC SB 21373 E 21077,ANAC (Brasil),72-ENGINE ,PRESILHAS FIXAÇÃO E LINHAS COMBUST MOTOR,Mandatório,Modificação,Motor,PW120 - PCE-121166,ALREADY EMBODIED,Messias Neves,,,,,,JÁ INCORPORADO DEVIDO A P&WC TER CUMPRIDO COM OS SB's 21373 E 21077 EM 10/29/1997 CONFORME DOCUMENTOS EM ANEXO.
AD/CF/DA/CN,88-11-03,00,04/11/1988,P&WC SB 20347,ANAC (Brasil),72-ENGINE ,LINHA DE P3,Mandatório,Modificação,Motor,PW120 - PCE-121166,NOT APPLICABLE,Messias Neves,,,,,,NÃO APLICÁVEL AO NÚMERO DE SÉRIE DO MOTOR.
AD/CF/DA/CN,88-05-08,00,24/05/1988,,ANAC (Brasil),72-ENGINE ,TAMPA DA BOMBA COMBUSTÍVEL ALTA PRESSÃO,Mandatório,Inspeção única,Motor,PW120 - PCE-121166,DOES NOT REQUIRE ACTION,Messias Neves,,,,,,OS PROCEDIMENTOS DESCRITOS NESSA D.A. JÁ SÃO PREVISTOS NO MM DO MOTOR SEÇÃO 72-01-40- NÃO SENDO MAIS NENHUMA AÇÃO REQUERIDA.
AD/CF/DA/CN,CF-2013-29,0,18/10/2013,CF-2014-41,DT (Canada),73-ENGINE - FUEL AND CONTROL,SUPERSEDED BY CF-2014-41 DECEMBER 9- 2014,Mandatório,Modificação,Motor,PW120 - PCE-121169,CANCELLED/SUPERSEDED,Messias Neves,,,,,,CF suprecedida pela CF-2014-41.
AD/CF/DA/CN,2013-02,00,31/01/2013,P&WC SB 72-21823,DT (Canada),72-ENGINE ,FIRST STAGE POWER TURBINE BLADE FAILURE,Mandatório,Modificação,Motor,PW124B - PCE-AH0011,ALREADY EMBODIED,Caio Silva,,,,,,Incorporado  SB P&WC 21853 de acordo com Vector Aerospace WO nº 15010336/001 datada em 17/06/2015- nenhuma ação posterior necessária.
AD/CF/DA/CN,88-05-08,00,24/05/1988,SIL PW-031 REV. 02,ANAC (Brasil),72-ENGINE ,TAMPA DA BOMBA COMBUSTÍVEL ALTA PRESSÃO,Mandatório,Modificação,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,ALREADY EMBODIED DURING MANUFACTURING
AD/CF/DA/CN,CF-96-22,00,31/12/1996,SB21077R/ SB21373R3,DT (Canada),72-ENGINE ,FUEL NOZZLE - LOCKING PLATES + ''O'' RING,Mandatório,Modificação,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,PRÉVIAMENTE INCORPORADO EM 23/09/1997 DE ACORDO COM REGISTRO DO LOGBOOK EM ANEXO (AD CORRESPONDE A DA ANAC 97-10-06)
AD/CF/DA/CN,CF-88-26R1,01,09/12/1988,SB 20002R4,DT (Canada),72-ENGINE ,HIGH PRESSURE TURBINE COMPONENTS,Mandatório,Modificação,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,ALREADY EMBODIED DURING MANUFACTURING
AD/CF/DA/CN,CF-89-14R1,01,05/11/1990,SB 20417/ SB 20456,DT (Canada),72-ENGINE ,TEMPORARY HIGH PRESSURE ROTOR SEIZURE,Mandatório,Modificação,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,ALREADY EMBODIED DURING MANUFACTURING
AD/CF/DA/CN,CF-90-21,00,01/10/1990,SB 20987,DT (Canada),72-ENGINE ,FUEL PUMP FILTER COVER "O" RING ,Mandatório,Modificação,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,ALREADY EMBODIED DURING MANUFACTURING
AD/CF/DA/CN,CF-90-24R2,02,10/12/1990,,DT (Canada),72-ENGINE ,HAMILTON STANDARD HYDRO-MECHANICAL UNITS (HMU),Mandatório,Modificação,Motor,PW121 - PCE-121255,NOT APPLICABLE,Caio Silva,,,,,,NOT APPLICABLE TO HMU PART NUMBER AND SERIAL NUMBER
AD/CF/DA/CN,CF-94-01,00,01/01/1994,,DT (Canada),72-ENGINE ,HIGH PRESSURE TURBINE (HPT) DISK,Mandatório,Modificação,Motor,PW121 - PCE-121255,NOT APPLICABLE,Caio Silva,,,,,,NOT APPLICABLE TO HPT DISK INSTALLED ON ENGINE
AD/CF/DA/CN,97-17-05,00,09/09/1997,,FAA (EUA),72-ENGINE ,GAS GENERATOR CASE DRAIN PORTS,Mandatório,Inspeção única,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,TO BE PERFOMED DURING ENGINE INSTALATION BY OPERATOR
AD/CF/DA/CN,CF-2000-34,00,29/12/2000,,DT (Canada),72-ENGINE ,REMOVE PRE-PW&C SB21100 STEWART WARNER FUEL HEATERS ,Mandatório,Modificação,Motor,PW121 - PCE-121255,NOT APPLICABLE,Caio Silva,,,,,,NOT APPLICABLE TO FUEL HEATER P/N INSTALLED 
AD/CF/DA/CN,CF-2002-10,00,01/03/2002,,DT (Canada),72-ENGINE ,P&WC PW100 Intercompressor Case Fire ,Mandatório,Modificação,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,ALREADY EMBODIED
AD/CF/DA/CN,CF-2012-12,00,02/04/2012,SB A21813,DT (Canada),72-ENGINE ,Propeller Shaft Crack,Mandatório,Modificação,Motor,PW121 - PCE-121255,NOT APPLICABLE,Caio Silva,,,,,,INSTALED PART NUMBER OF PROPELLER SHAFT NOT RELATED TO SB A21813 TABLES
AD/CF/DA/CN,CF-2014-41,00,09/DEC/2014,SB: 21861,DT (Canada),72-ENGINE ,Engine Fuel and Control - Fuel Spray Nozzle – Fuel Leaks Resulting In Engine Fire ,Mandatório,Modificação,Motor,PW121 - PCE-121255,ALREADY EMBODIED,Caio Silva,,,,,,ALREADY EMBODIED BY CSA ON 09/09/2015 ACCORDING TO FCDA ANNEX 
AD/CF/DA/CN,CF-2005-29,00,12/SEP/2005,,DT (Canada),72-ENGINE ,Field Inspection and Replacement of Propeller Shaft,Mandatório,Modificação,Motor,PW121 - PCE-121255,NOT APPLICABLE,Caio Silva,,,,,,NOT APPLICABLE TO PROPELLER SHAFT INSTALLED ON ENGINE (S/N:5X427)
AD/CF/DA/CN,CF-88-26,1,09/12/1988,PW&C SB 20002 Rev. 4 dated November 21/ 1988 PW&C SB 20133 dated 14 September 1987,DT (Canada),72-ENGINE ,High Pressure Turbine Components,Mandatório,Modificação,Motor,PW121 - PCE-121227,NOT APPLICABLE,André Torres,,,,,,AD NÃO APLICAVEL AO NÚMERO DE SÉRIE DO MOTOR- A AD SE APLICA SOMENTE AOS MOTORES PW120- 120A E 121 COM NÚMEROS DE SÉRIE ATÉ 120171
AD/CF/DA/CN,CF 89-14R1,1,5/11/1990,PWC SB No 20417/ dated 17 May 1989 PWC SB No 20456/ dated 21 June 1989 PWC SB No 20341/ dated 30 March 1989 PWC SB No 20419/ dated 19 May 1989,DT (Canada),72-ENGINE ,Temporary High Pressure rotor Seizure,Mandatório,Modificação,Motor,PW121 - PCE-121227,ALREADY EMBODIED,André Torres,,,,,,ATESTADO O CUMPRIMENTO DE DIRETRIZ POR MEIO DE ANÁLISE DOCUMENTAL- C.F./A.D. STATUS REPORT ENGINE PW100 DA AVIO PROPULSIONE AEROSPAZIALE DATADO DE 01/06/2008 EM ANEXO
AD/CF/DA/CN,CF 90-21,0,01/10/1990,PW&C SERVICE BULLETIN 20907 dated 20/ August 1990 ,DT (Canada),72-ENGINE ,Fuel Pump Filter Cover "O" Ring,Mandatório,Modificação,Motor,PW121 - PCE-121227,NOT APPLICABLE,André Torres,,,,,,AD NÃO APLICAVEL AO MOTOR PCE-121227  DEVIDO A CONFIGURAÇAO DO MOTOR PÓS SB 20897
AD/CF/DA/CN,CF 90-24,2,10/12/1990,P&WC SB No 20951R1,DT (Canada),72-ENGINE ,Hamilton Standard Hydro-Mechaincal Units (HMU),Mandatório,Inspeção Rep.,Motor,PW121 - PCE-121227,NOT APPLICABLE,André Torres,,,,,,AD não aplicável pois o SB não é aplicável ao HMU P/N 786392-15 instalado.
AD/CF/DA/CN,CF 94-01,0,10/01/1994,N/A,DT (Canada),72-ENGINE ,High Pressure Turbine (HPT) Disk,Mandatório,Inspeção única,Motor,PW121 - PCE-121227,ALREADY EMBODIED,André Torres,,,,,,Nenhuma ação necessária pois a diretriz já foi incorporada conforme LOG BOOK ENTRY de 1998- onde no campo LIFE LIMTED PARTS LOG é evidenciada a instalação de P/N de H.P Disks diferentes dos quais a diretriz se aplica;  P/N Instalado em 1996 - 3038411 (Aplicabilidade da AD) P/N Instalado em 1998 - 3045591
AD/CF/DA/CN,CF 2000-34,0,29/12/2000,PW&C SB 21100,DT (Canada),72-ENGINE ,Removal Pre-PW&C SB21100 Stewart Warner Fuel Heaters,Mandatório,Modificação,Motor,PW121 - PCE-121227,ALREADY EMBODIED,André Torres,,,,,,(1)  COM 30 DIAS A PARTIR DA DATA DE EFETIVIDADE DESTA AD TODOS OS FUEL HEATERS PRE SB 21100- STEWART WARNER (SW)- PART NUMBER SERIES 10718 DEVEM SER REMOVIDOS DE SERVIÇO (2) (A) NÃO APLICÁVEL AO PART NUMBER E NÚMERO DE SÉRIE INSTALADO NA AERONAVE NA DATA DESTA ANÁLISE (P/N: 10839F S/N: WA9785) (2) (B) JÁ INCORPORADO-  ANTES DE 31 DE AGOSTO DE 2002 REMOVA TODOS OS FUEL HEATERS PRE SB 21100 NÃO LISTADOS NAS TABELAS 1  E 2 DESTA DIRETRIZ- E SUBSTITUA POR POST SB- A FROTA DA MAP LINHAS AÉREAS NÃO POSSUEM FUEL HEATERS PRE SB 21100
